"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,-1.107995911E0,4.830455017E-1,8.996591492E0
1.004000000E-2,-1.273252258E0,3.948788452E-1,8.710536346E0
2.008100000E-2,-1.339714050E-1,2.517764282E-1,9.579778748E0
3.012100000E-2,4.658312988E-1,2.671943665E-1,1.046818130E1
4.016100000E-2,2.710862732E-1,1.085243225E-1,1.115540222E1
5.020200001E-2,5.987548828E-3,5.810916138E-1,1.051862640E1
6.024200000E-2,-8.187973022E-1,6.258485413E-1,9.252409515E0
7.028200000E-2,-5.671705627E-1,4.489164734E-1,8.712781677E0
8.032200000E-2,-1.460961914E-1,1.645079041E-1,8.592581635E0
9.036300000E-2,3.281176758E-1,-1.407073975E-2,9.435029755E0
1.004030000E-1,5.586383057E-1,5.174739075E-1,1.017718643E1
1.104130000E-1,-5.357359314E-1,4.592449951E-1,1.044961990E1
1.204530000E-1,-9.235794067E-1,3.535647583E-1,1.025667114E1
1.304930000E-1,-7.444020081E-1,4.950205994E-1,9.259594574E0
1.405340000E-1,-2.384541321E-1,5.643264771E-1,9.666298828E0
1.505740000E-1,8.936416626E-2,4.213737488E-1,1.021071671E1
1.606140000E-1,1.248403931E-1,-1.706451416E-2,1.045156586E1
1.706540000E-1,-4.122427368E-1,1.460961914E-1,1.012674133E1
1.806950000E-1,-9.969268799E-1,2.151026917E-1,9.752220154E0
1.907350000E-1,-8.303233337E-1,4.495152283E-1,9.779912567E0
2.007750000E-1,-5.650749207E-1,6.147715759E-1,1.018347336E1
2.108160000E-1,2.073188782E-1,6.201603699E-1,1.007420059E1
2.208560000E-1,1.016386414E-1,5.472619629E-1,9.917775879E0
2.308960000E-1,-1.425036621E-1,1.116677856E-1,9.852810974E0
2.409476667E-1,-5.797444153E-1,-2.664459229E-2,9.684710541E0
2.509886667E-1,-6.256988525E-1,1.447489929E-1,9.482181702E0
2.610286667E-1,-3.385958862E-1,4.516108704E-1,9.508526917E0
2.710686667E-1,4.610412598E-2,5.953120422E-1,9.324110413E0
2.811096667E-1,2.475851440E-1,6.981481934E-1,9.116342468E0
2.911496667E-1,-2.793191528E-1,5.255570984E-1,9.478289795E0
3.011896667E-1,-4.623884583E-1,1.525328064E-1,9.842482452E0
3.112296667E-1,-4.806504822E-1,1.835183716E-1,9.830657043E0
3.212706667E-1,-4.020639038E-1,1.347198486E-1,9.538165283E0
3.313106667E-1,-5.718109131E-2,3.561094666E-1,9.416019287E0
3.413506667E-1,2.736309814E-1,3.561094666E-1,9.737550659E0
3.513916667E-1,1.194515991E-1,4.206253052E-1,1.004980133E1
3.614316667E-1,-3.502716064E-1,2.415975952E-1,1.013916550E1
3.714716667E-1,-4.128414917E-1,3.704795837E-1,9.952503662E0
3.815116667E-1,-3.499722290E-1,3.890409851E-1,9.639803925E0
3.915526667E-1,-3.981719971E-2,1.344204712E-1,9.622140656E0
4.015926667E-1,1.769320679E-1,2.215393066E-1,9.505682831E0
4.116326667E-1,-6.795867920E-2,5.924679565E-1,9.490863647E0
4.216736667E-1,-2.131567383E-1,3.676354980E-1,9.623487854E0
4.317136667E-1,-2.718347168E-1,2.152523804E-1,9.794282684E0
4.417536667E-1,-2.303709412E-1,3.703298950E-1,9.635612640E0
4.517936667E-1,-1.592687988E-1,4.061054993E-1,9.578880615E0
4.618346667E-1,-1.076261902E-1,1.850152588E-1,9.748627625E0
4.718746667E-1,-1.246907043E-1,5.511538696E-1,9.492809601E0
