"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.656800000E-1,-1.081038639E-2,1.035925094E-2,1.583764330E-2
1.757200000E-1,-8.716149256E-3,-1.688381657E-2,-4.924645647E-3
1.857610000E-1,-2.740547992E-3,-1.389601640E-2,-1.492321864E-2
1.958010000E-1,-1.172164828E-2,-2.469247580E-2,-1.964442991E-2
2.058410000E-1,-1.217997819E-2,-2.662752755E-2,-9.984878823E-3
2.158810000E-1,-1.148965769E-2,-9.892937727E-3,1.632547006E-3
2.259220000E-1,-1.323269680E-2,-6.491057575E-4,6.443547085E-3
2.359736667E-1,-1.193063706E-2,-4.559141584E-3,-1.511370763E-3
2.460136667E-1,-1.036416553E-2,1.556663401E-2,-1.088010520E-2
2.560236667E-1,-1.483055390E-2,6.453828420E-3,-1.669458300E-2
2.660636667E-1,-1.426116936E-2,9.264377877E-4,-1.572226360E-2
2.761046667E-1,-9.709989652E-3,1.078340132E-2,-4.371404648E-3
2.861446667E-1,-1.589118689E-2,-7.946611382E-3,3.402895294E-3
2.961846667E-1,-1.391096413E-2,-1.600114629E-2,-4.534857348E-3
3.062256667E-1,-9.261351079E-3,-2.366732061E-2,-1.031578146E-2
3.162656667E-1,5.257488228E-4,-1.280675177E-2,-1.537007280E-2
3.263056667E-1,-7.851490751E-3,-2.037998289E-2,-1.434102468E-2
3.363456667E-1,-9.939273819E-3,-1.458803192E-2,-1.465598121E-3
3.463866667E-1,-8.741384372E-3,-7.748235483E-3,2.744060941E-3
3.564266667E-1,-7.132522762E-3,-6.416754797E-3,-3.918800503E-3
3.664666667E-1,-1.731898636E-3,-8.380569518E-3,-1.169416681E-2
3.765066667E-1,-3.400571644E-3,-1.240282785E-2,-1.449513622E-2
3.865476667E-1,-4.193928093E-3,-1.588224806E-2,-1.302134432E-2
3.965876667E-1,1.808246598E-4,-1.662534848E-2,-1.332113519E-3
4.066276667E-1,-1.473264769E-3,1.810917165E-3,8.799079806E-4
4.166686667E-1,-7.105295546E-3,-9.152706712E-3,1.807936467E-3
4.267086667E-1,4.481852055E-3,-6.867181510E-3,-1.004872285E-2
4.367486667E-1,1.120842062E-3,2.097059041E-3,-1.424435899E-2
4.467886667E-1,2.524860669E-3,-1.180464216E-2,-1.414156146E-2
4.568296667E-1,-1.880835742E-3,1.932960004E-4,-1.316472888E-2
4.668696667E-1,4.857760854E-3,-2.598264813E-2,-1.121369749E-2
4.769096667E-1,6.907855161E-3,-6.179706659E-3,5.225371569E-4
4.869506667E-1,1.657433063E-2,-2.790204808E-2,-1.109204069E-2
4.969906667E-1,2.422312647E-2,-1.223961450E-2,-1.043552905E-2
5.070306667E-1,1.670448855E-2,-1.804290898E-2,-9.268000722E-3
5.170706667E-1,2.178800851E-2,2.508115489E-3,-6.861826405E-3
5.271116667E-1,1.557298936E-2,1.338206790E-2,-1.065683179E-2
5.371516667E-1,1.907675155E-2,2.329011075E-2,-1.047474518E-2
5.471916667E-1,1.325241849E-2,2.345096506E-2,-1.390436478E-2
5.572326667E-1,4.583742470E-3,1.970309578E-2,-7.824959233E-3
5.672726667E-1,7.748110685E-3,3.199225664E-2,-7.559709251E-3
5.773126667E-1,-4.599870183E-3,8.625537157E-3,-9.063098580E-3
5.873526667E-1,-1.269054599E-3,4.384475760E-4,-1.537558809E-2
5.973936667E-1,-5.548299290E-3,-8.301994763E-3,-1.705951802E-2
6.074336667E-1,-8.264457807E-3,-7.720626891E-3,-1.197580993E-2
6.174736667E-1,-4.896091297E-3,-2.157283481E-3,-1.509410329E-2
6.274836667E-1,-6.917962804E-3,-1.400781795E-2,-1.129403897E-2
6.375236667E-1,-9.788667783E-3,-1.492547430E-2,-1.451061293E-2
6.475646667E-1,-6.359582767E-3,-1.633774862E-2,-1.732477546E-2
6.576046667E-1,-1.039671898E-2,-1.001964323E-2,-2.077957988E-2
6.676446667E-1,-1.614621654E-2,-5.132742226E-3,-1.753052324E-2
6.776846667E-1,-1.928559318E-2,-2.118025348E-2,-1.328460500E-2
6.877256667E-1,-1.330573112E-2,-4.007925279E-3,-1.345478185E-2
6.977656667E-1,-8.523369208E-3,-4.758637864E-3,-1.703557558E-2
7.078056667E-1,-2.755272202E-2,-7.477459032E-3,-2.087532170E-2
7.178466667E-1,-3.250731900E-2,1.719963364E-2,-1.764613390E-2
7.278866667E-1,-3.230278939E-2,4.026260972E-2,-1.611588150E-2
7.379266667E-1,-2.962425910E-2,5.683313310E-2,-5.492005497E-3
7.479666667E-1,-1.693163440E-2,5.574469641E-2,-7.076853886E-3
7.580076667E-1,-2.407887019E-2,3.609964252E-2,-1.078016311E-2
7.680476667E-1,-1.752189919E-2,2.607017942E-2,-1.442416757E-2
