"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
0.000000000E0,4.766796906E1,1.765212757E1,1.229104406E2,1.294398689E1,2.445177124E2,8.001208274E0,8.001208274E0
1.664736509E0,4.766796906E1,1.765212757E1,1.229104406E2,1.294398689E1,2.445177124E2,8.001208274E0,8.001208274E0
3.582816839E0,4.766795405E1,1.765160433E1,1.156412056E2,1.451045704E1,-1.000000000E0,9.600000000E1,9.600000000E1
4.582815528E0,4.766770887E1,1.765130094E1,1.001451508E2,1.485024166E1,-1.000000000E0,6.400000000E1,6.400000000E1
5.582814217E0,4.766763818E1,1.765109639E1,9.983063965E1,1.460151958E1,-1.000000000E0,4.800000000E1,4.800000000E1
6.582811713E0,4.766760821E1,1.765095922E1,9.971848297E1,1.460151958E1,-1.000000000E0,3.200000000E1,3.200000000E1
7.582810163E0,4.766756105E1,1.765080691E1,9.966091461E1,1.434405899E1,-1.000000000E0,3.200000000E1,3.200000000E1
8.582808614E0,4.766750633E1,1.765064085E1,9.962751617E1,1.409635067E1,-1.000000000E0,3.200000000E1,3.200000000E1
9.389301062E0,4.766745810E1,1.765046992E1,9.960726013E1,1.443661499E1,-1.000000000E0,3.200000000E1,3.200000000E1
1.038929915E1,4.766740969E1,1.765029524E1,9.959531250E1,1.431586456E1,-1.000000000E0,2.400000000E1,2.400000000E1
1.140782607E1,4.766735895E1,1.765011245E1,9.958745728E1,1.443661499E1,-1.000000000E0,2.400000000E1,2.400000000E1
1.240782428E1,4.766730202E1,1.764989383E1,1.145277677E2,1.431586456E1,-1.000000000E0,2.400362482E1,2.400362482E1
1.340074992E1,4.766724962E1,1.764975920E1,1.138149911E2,1.219955635E1,2.481826006E2,1.200181241E1,1.200181241E1
1.541010630E1,4.766715324E1,1.764959765E1,1.152357807E2,1.259909821E1,2.423135529E2,1.200181241E1,1.200181241E1
1.641010392E1,4.766709715E1,1.764945852E1,1.153763628E2,1.219955635E1,2.387978668E2,1.200181241E1,1.200181241E1
1.743353498E1,4.766704720E1,1.764933642E1,1.153982625E2,1.023622990E1,2.387978668E2,1.200181241E1,1.200181241E1
1.843353415E1,4.766709226E1,1.764929426E1,1.154847039E2,1.073337555E1,2.387978668E2,8.001208274E0,8.001208274E0
1.944061649E1,4.766702445E1,1.764904889E1,1.156646661E2,1.073337555E1,2.595869446E2,8.001208274E0,8.001208274E0
2.044061494E1,4.766698023E1,1.764887123E1,1.158496957E2,1.073337555E1,2.541007385E2,8.001208274E0,8.001208274E0
2.147952425E1,4.766695113E1,1.764881716E1,1.160248911E2,8.573770523E0,2.541007385E2,8.001208274E0,8.001208274E0
2.247952318E1,4.766691438E1,1.764872117E1,1.161603901E2,8.573770523E0,2.544412079E2,8.001208274E0,8.001208274E0
