"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.444700000E-1,-1.010057051E-2,6.978571415E-3,-6.307142228E-2
1.545100000E-1,-8.094670251E-3,1.584963687E-2,-6.183769926E-2
1.645510000E-1,-9.696828201E-3,2.119273692E-2,-6.111358479E-2
1.745910000E-1,-1.064325217E-2,1.658269018E-2,-5.616500974E-2
1.846310000E-1,-6.973682903E-3,1.609879546E-2,-5.394446850E-2
1.946720000E-1,-8.501959965E-4,2.330197766E-2,-4.900052398E-2
2.047120000E-1,7.798419334E-3,1.093984954E-2,-5.226476118E-2
2.147520000E-1,2.837480977E-3,7.367385551E-3,-5.628999695E-2
2.247920000E-1,4.883055110E-3,6.416903809E-3,-5.587187782E-2
2.348330000E-1,3.009391483E-3,1.334939152E-2,-5.213765427E-2
2.448730000E-1,3.741228022E-3,1.676809229E-2,-4.645447060E-2
2.549130000E-1,-2.756679431E-3,1.861619204E-2,-3.845795989E-2
2.649230000E-1,-7.979245856E-4,1.056146063E-2,-4.134615883E-2
2.749630000E-1,2.780565061E-3,1.017130725E-2,-4.586740583E-2
2.850040000E-1,-2.389270812E-4,7.018124685E-3,-5.028425902E-2
2.950440000E-1,-3.474191763E-3,1.049748808E-2,-4.218295589E-2
3.050840000E-1,1.615108922E-3,1.356331818E-2,-3.821963817E-2
3.151250000E-1,-3.387834877E-3,1.443066262E-2,-3.931495920E-2
3.251650000E-1,-1.777420752E-3,7.008964196E-3,-3.733729571E-2
3.352050000E-1,2.355852164E-3,5.457646213E-3,-4.094838351E-2
3.452450000E-1,5.675215740E-3,7.239833474E-3,-4.974480346E-2
3.552860000E-1,4.754563794E-3,5.172776058E-3,-4.754942656E-2
3.653260000E-1,1.236108411E-2,-5.076665897E-3,-4.481809214E-2
3.753660000E-1,1.241816673E-2,-4.836268723E-3,-4.003381357E-2
3.854060000E-1,1.970404387E-2,-4.332931247E-3,-3.861727938E-2
3.954160000E-1,2.368453890E-2,-1.475726254E-3,-3.885822743E-2
4.054570000E-1,2.132790722E-2,-8.891564794E-3,-4.399892688E-2
4.154970000E-1,2.142471075E-2,-1.108191442E-2,-4.425518960E-2
4.255370000E-1,1.363336667E-2,4.032324068E-3,-4.401870072E-2
4.355770000E-1,1.210936625E-2,7.581278682E-3,-4.125187919E-2
4.456180000E-1,8.457106538E-3,1.843019761E-2,-3.787365928E-2
4.556580000E-1,1.045670360E-3,2.730304375E-3,-3.619220480E-2
4.656980000E-1,-4.200491123E-3,7.091229782E-3,-4.011051357E-2
4.757390000E-1,-1.235935092E-2,7.541038096E-3,-4.243491963E-2
4.857790000E-1,-1.079794019E-2,1.916307397E-2,-4.039786756E-2
4.958190000E-1,-1.734731719E-2,1.856056601E-2,-3.953893110E-2
5.058590000E-1,-2.430509217E-2,1.295327954E-2,-3.956716135E-2
5.159000000E-1,-2.996231243E-2,8.949851617E-3,-4.004792869E-2
5.259090000E-1,-2.598195150E-2,1.010939106E-2,-4.467463866E-2
5.359500000E-1,-2.510067821E-2,8.177490905E-3,-4.390630871E-2
5.459900000E-1,-2.644450963E-2,1.432459988E-2,-4.218457639E-2
5.560300000E-1,-2.607627958E-2,1.125445776E-2,-4.492606968E-2
5.660710000E-1,-3.320529684E-2,1.765563153E-2,-4.311858118E-2
5.761110000E-1,-2.254789509E-2,2.965204418E-2,-4.201566428E-2
5.861510000E-1,-2.067223005E-2,2.167108282E-2,-3.972987458E-2
5.961910000E-1,-2.425811253E-2,2.813105658E-2,-3.760037199E-2
6.062320000E-1,-2.025857754E-2,1.690716483E-2,-3.617664799E-2
6.162720000E-1,-2.052431181E-2,1.858825795E-3,-3.907759860E-2
6.263120000E-1,-1.534898952E-2,-9.938444942E-3,-4.267819226E-2
6.363530000E-1,-1.506237779E-2,-1.308267750E-2,-4.201623425E-2
6.463930000E-1,-2.175250649E-2,-1.288400590E-2,-3.912057728E-2
6.564030000E-1,-2.256226726E-2,-1.653271914E-2,-3.759920597E-2
6.664430000E-1,-1.981095597E-2,-1.432123035E-2,-3.337384015E-2
6.764830000E-1,-1.652728766E-2,-8.135814220E-3,-3.601716086E-2
6.865230000E-1,-1.014235988E-2,-6.137111690E-3,-4.030618072E-2
6.965640000E-1,-8.975246921E-3,-5.032369867E-3,-4.497623444E-2
7.066040000E-1,-3.214563243E-3,1.858028211E-2,-3.789062798E-2
7.166440000E-1,8.930191398E-3,1.800674200E-2,-3.153888881E-2
7.266850000E-1,1.090013236E-2,1.976256259E-2,-3.067895584E-2
7.367250000E-1,2.450984716E-2,2.522787079E-2,-3.655408323E-2
7.467650000E-1,2.592957765E-2,9.101098403E-3,-4.267375916E-2
7.568050000E-1,2.107309178E-2,1.741832308E-2,-4.275935143E-2
7.668460000E-1,2.771048993E-2,2.527491562E-2,-3.630544245E-2
7.768860000E-1,2.058515325E-2,1.471108012E-2,-3.041323088E-2
7.868960000E-1,2.749765478E-2,2.402415313E-2,-2.777110972E-2
7.969360000E-1,3.247341514E-2,2.165099606E-2,-2.953149565E-2
8.069760000E-1,3.017963469E-2,1.267987117E-2,-3.385886550E-2
8.170170000E-1,2.776810341E-2,2.743900754E-2,-3.498154879E-2
8.270570000E-1,2.597845905E-2,2.781664394E-2,-3.398685902E-2
8.370970000E-1,2.094939351E-2,2.139324322E-2,-2.835344151E-2
8.471370000E-1,2.421868965E-2,3.013800085E-2,-2.140765265E-2
8.571780000E-1,2.391982637E-2,1.713413931E-2,-2.175003663E-2
8.672180000E-1,2.216959745E-2,9.131606668E-3,-2.508378029E-2
8.772580000E-1,1.872285455E-2,1.012578979E-2,-2.482215874E-2
8.872990000E-1,2.141717449E-2,7.940132171E-3,-2.430097945E-2
8.973317917E-1,1.745108888E-2,4.195943475E-3,-1.858097315E-2
9.073717917E-1,1.595519111E-2,4.448411055E-3,-1.171720680E-2
9.173817917E-1,1.908716373E-2,6.649764255E-3,-1.122421771E-2
9.274217917E-1,1.768341102E-2,4.337873310E-3,-1.483972371E-2
9.374617917E-1,1.400629990E-2,1.221873984E-2,-1.846871711E-2
9.475027917E-1,1.192850154E-2,2.169986069E-2,-1.641089283E-2
9.575427917E-1,9.235864505E-3,2.051444724E-2,-1.193048805E-2
9.675827917E-1,3.024573904E-3,2.505327016E-2,-5.906682462E-3
9.776237917E-1,1.178452000E-2,2.860035375E-2,-1.816465519E-3
9.876637917E-1,1.481839269E-2,2.336964011E-2,-6.751569919E-3
9.977037917E-1,7.092623971E-3,8.871842176E-3,-9.135997854E-3
1.007743792E0,1.178751048E-2,1.169980504E-3,-1.026411261E-2
1.017784792E0,1.231401786E-2,-8.151349612E-3,-5.324215628E-3
1.027824792E0,1.076086238E-2,-1.731874794E-2,-4.237331450E-4
1.037864792E0,1.466265880E-2,-7.838960737E-3,4.921285436E-4
1.047874792E0,1.917165704E-2,-2.973631956E-3,-2.303924412E-3
1.057914792E0,1.993039250E-2,2.196894959E-3,-6.173497997E-3
1.067955792E0,1.927072555E-2,1.304048859E-2,-2.073028125E-3
1.077995792E0,1.686269604E-2,1.640778966E-2,-1.297782175E-3
1.088035792E0,1.898495294E-2,1.922086813E-2,2.383369021E-3
1.098075792E0,1.667394489E-2,8.525038138E-3,-1.866780221E-4
1.108116792E0,1.763161644E-2,1.287451386E-2,-8.596591651E-4
1.118156792E0,2.171171829E-2,1.388985105E-2,-3.284399398E-3
1.128196792E0,2.210959420E-2,1.440730318E-2,-5.100143142E-3
1.138237792E0,1.895275712E-2,1.426822320E-2,-2.275826409E-3
1.148277792E0,1.662914827E-2,1.704696380E-2,-1.961573027E-3
1.158317792E0,1.993498579E-2,1.732678711E-2,-3.956115805E-3
1.168357792E0,2.063326538E-2,4.551602527E-3,-1.588566229E-3
1.178367792E0,1.992838085E-2,2.996236086E-3,2.206069417E-3
1.188408792E0,2.477560192E-2,-1.086338703E-2,-1.062960364E-3
1.198448792E0,2.491061017E-2,-8.864573203E-3,-2.697899006E-3
1.208488792E0,2.149910107E-2,-1.490755193E-2,-7.163221948E-3
1.218528792E0,1.705641672E-2,-9.824642912E-3,-5.640692078E-3
1.228569792E0,1.108134817E-2,-7.144437637E-3,-5.995958112E-3
1.238609792E0,6.380336359E-3,-6.866137497E-3,-2.710415982E-3
1.248649792E0,-2.607033588E-3,-2.221659757E-2,-5.183693953E-3
1.258689792E0,-2.378182486E-3,-1.944111288E-2,-3.702272661E-3
1.268730792E0,-1.757480204E-4,-2.046989277E-2,-6.535875611E-3
1.278770792E0,-3.981237300E-3,-1.494484395E-2,-5.194747820E-3
1.288810792E0,-8.423389867E-3,-1.364522148E-2,-4.173425958E-3
1.298851792E0,-8.913089521E-3,-9.766370058E-4,-9.052438661E-3
1.308891792E0,-1.538031083E-2,-1.673319843E-3,-1.032276638E-2
