"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
0.000000000E0,4.769704053E1,1.764269309E1,1.158585434E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
4.045820236E-1,4.769700677E1,1.764267749E1,1.158591385E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
1.633526087E0,4.769684354E1,1.764253748E1,1.158594055E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.003838062E0,4.769687260E1,1.764265424E1,1.158595505E2,-1.000000000E0,-1.000000000E0,6.500000000E1,6.500000000E1
2.735485554E0,4.769695170E1,1.764297407E1,9.867404022E1,5.531091213E0,-1.000000000E0,3.200000000E1,3.200000000E1
3.735480905E0,4.769696643E1,1.764294112E1,9.867404022E1,5.531091213E0,-1.000000000E0,1.600000000E1,1.600000000E1
4.735476255E0,4.769693439E1,1.764285222E1,9.867404022E1,6.747786522E0,-1.000000000E0,1.600000000E1,1.600000000E1
5.735472560E0,4.769690635E1,1.764278001E1,9.867404022E1,7.038439751E0,-1.000000000E0,2.400000000E1,2.400000000E1
6.735467315E0,4.769687086E1,1.764269184E1,9.867404022E1,8.138720512E0,-1.000000000E0,2.400000000E1,2.400000000E1
7.788588405E0,4.769680462E1,1.764255008E1,1.166901260E2,8.569647789E0,-1.000000000E0,1.600241655E1,1.600241655E1
8.788583755E0,4.769685573E1,1.764244394E1,1.128184035E2,-1.000000000E0,-1.000000000E0,1.200181241E1,1.200181241E1
1.083701420E1,4.769676897E1,1.764234372E1,1.198558530E2,7.896930218E0,2.417604196E2,8.001208274E0,8.001208274E0
1.190898502E1,4.769665226E1,1.764232173E1,1.139129729E2,8.206140518E0,2.408200989E2,8.001208274E0,8.001208274E0
1.290898061E1,4.769661327E1,1.764221831E1,1.137190561E2,8.206140518E0,2.408200989E2,8.001208274E0,8.001208274E0
1.399372661E1,4.769658859E1,1.764215282E1,1.134312272E2,8.571291924E0,2.408200989E2,8.001208274E0,8.001208274E0
1.499372232E1,4.769651402E1,1.764200725E1,1.134683211E2,9.641537666E0,2.325503693E2,6.000906205E0,6.000906205E0
1.603902268E1,4.769646287E1,1.764190833E1,1.134352125E2,9.668738365E0,2.325503693E2,6.000906205E0,6.000906205E0
1.703901839E1,4.769640994E1,1.764180597E1,1.136363985E2,9.641537666E0,2.325503693E2,6.000906205E0,6.000906205E0
1.803901362E1,4.769635993E1,1.764170925E1,1.139952118E2,9.553714752E0,2.325503693E2,6.000906205E0,6.000906205E0
1.909413064E1,4.769630826E1,1.764160932E1,1.143394794E2,9.239849091E0,2.325503693E2,6.000906205E0,6.000906205E0
2.009412599E1,4.769625567E1,1.764150762E1,1.143800173E2,9.651295662E0,2.325503693E2,6.000906205E0,6.000906205E0
2.109394562E1,4.769620382E1,1.764140733E1,1.143862271E2,9.453419685E0,2.325503693E2,6.000906205E0,6.000906205E0
2.209375405E1,4.769615177E1,1.764130668E1,1.143879467E2,9.453419685E0,2.325503693E2,6.000906205E0,6.000906205E0
