"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
0.000000000E0,1.062789917E-2,-6.625222778E-1,7.512128448E0
1.001000000E-2,3.597019958E-1,-4.927752686E-1,8.081244965E0
2.002000000E-2,-3.317102051E-1,-7.312294006E-1,9.812844086E0
3.006000000E-2,-5.776487732E-1,-8.610095215E-1,1.036609360E1
4.010000000E-2,-1.702858887E0,-7.203021240E-1,1.039064255E1
5.014100000E-2,-3.342549133E-1,-6.433621216E-1,1.021041733E1
6.018100000E-2,-4.779560852E-1,-3.923341370E-1,9.994715881E0
7.022100000E-2,-2.667453003E-1,-8.416996765E-1,9.764195251E0
8.026200000E-2,-1.987866211E-1,-1.123713226E0,9.540859680E0
9.030200000E-2,-5.571414185E-1,-7.475454712E-1,9.022188263E0
1.003420000E-1,-1.033450928E0,-5.719606018E-1,9.382339325E0
1.103820000E-1,-1.563648376E0,-5.116360474E-1,9.355994110E0
1.204230000E-1,-4.941224670E-1,-9.454339600E-1,9.364376678E0
1.304630000E-1,3.315605164E-1,-4.114942932E-1,8.908125458E0
1.405030000E-1,-5.388793945E-2,-2.722837830E-1,8.763376465E0
1.505440000E-1,-1.272653503E0,-1.025367737E0,9.359886017E0
1.606140000E-1,-1.219663696E0,-1.218915253E0,9.833800507E0
1.706550000E-1,-5.547463989E-1,-9.017248535E-1,1.030651749E1
1.806950000E-1,3.731739807E-1,-5.234614563E-1,1.004126907E1
1.907350000E-1,-4.071533203E-1,-1.621128845E-1,9.516610107E0
2.007760000E-1,-5.462141418E-1,-5.161267090E-1,9.305249634E0
2.108160000E-1,-5.499563599E-1,-7.774832153E-1,9.070986786E0
2.208560000E-1,-4.917274475E-1,-4.417314148E-1,9.273515625E0
2.308960000E-1,-1.845661926E-1,-4.596940613E-1,9.101672974E0
2.409370000E-1,-1.788780212E-1,-8.662486267E-1,9.421258392E0
2.509770000E-1,-2.157014465E-1,-8.701405334E-1,9.825268250E0
2.610170000E-1,-5.971083069E-1,-3.549119568E-1,9.411079559E0
