"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.535950000E-1,-3.106578898E-1,-4.505842455E-2,-6.015328950E-1
1.636360000E-1,-8.394669903E-1,-5.143026701E-1,-1.145867157E-1
1.736760000E-1,-5.418643981E-1,-3.078893794E-1,4.196154910E-1
1.837160000E-1,7.994034036E-1,-2.392176323E-2,3.777769089E-1
1.937560000E-1,3.137883064E-1,4.991534114E-1,1.189323664E-2
2.037970000E-1,4.701380655E-2,3.768631352E-1,-4.614388704E-1
2.138370000E-1,-1.675721374E-1,-2.115157172E-2,-6.266525334E-1
2.238770000E-1,4.739365630E-2,1.281785685E-1,-5.450739348E-1
2.339180000E-1,1.963440564E-1,3.105968595E-1,-6.337615782E-1
2.439580000E-1,2.867970107E-1,3.020371936E-2,-6.076935214E-1
2.539980000E-1,6.403079747E-1,-1.660273761E-1,4.402485609E-2
2.640380000E-1,-9.545312773E-2,1.217149101E-1,-1.846936619E-1
2.740790000E-1,-1.998119304E-1,6.214479268E-1,-4.696916306E-1
2.841190000E-1,-3.263746939E-1,3.828546309E-1,-3.279826051E-1
2.941590000E-1,-3.712038345E-1,-4.549908534E-2,7.335098147E-2
3.042000000E-1,-5.654033149E-1,3.003375542E-1,7.789362484E-1
3.142400000E-1,8.976554107E-2,9.347477348E-1,3.740411228E-1
3.242800000E-1,2.967966997E-1,1.212037100E0,-2.373852611E-2
3.343200000E-1,3.048353787E-1,1.500851912E0,-1.026653540E0
3.443910000E-1,-3.689923444E-1,1.546166956E0,-1.280795166E0
3.544320000E-1,-5.188465048E-1,1.593571941E0,-8.987024277E-1
3.644720000E-1,9.797886908E-2,1.639108741E0,-3.356044507E-1
3.745120000E-1,6.514920902E-1,1.814854847E0,4.438738346E-2
3.845520000E-1,2.386342629E-1,1.998979137E0,-8.130611837E-2
3.945930000E-1,-1.790519394E-1,9.716601840E-1,-9.618295527E-1
4.046330000E-1,-5.056282526E-1,8.975733304E-1,-4.920496291E-1
4.146730000E-1,5.708980531E-1,1.335044025E0,-2.997235966E-1
4.247130000E-1,1.189589566E0,9.348771045E-1,4.449830514E-1
4.347540000E-1,1.543180198E0,-8.863501847E-2,6.954251450E-1
4.447940000E-1,8.484090641E-1,2.824483268E-1,3.339941275E-1
4.548518333E-1,-4.699759880E-1,7.784396736E-1,4.399485987E-1
4.648928333E-1,-8.156639256E-1,5.109645312E-1,6.632122493E-1
